 Pariavaran Sikhsha-12 (Hindi),www.pseb.ac.in/sites/default/files/2021-07/Pariavaran-Sikhsha-12%28Hindi%292018-03-19.pdf
 Hindi Pustak-12,www.pseb.ac.in/sites/default/files/2021-07/Hindi-Pustak-12-2018-03-19.pdf
 Environment Education-12 (English),www.pseb.ac.in/sites/default/files/2021-07/Environment-Education-12-%28English%292018-03-19.pdf
 A Text book of food preservation 12 (Punjabi),www.pseb.ac.in/sites/default/files/2021-07/A-Text-book-of-food-preservation-12%28Punjabi%292018-03-19.pdf
 physics-12(English)Part-1,www.pseb.ac.in/sites/default/files/2021-07/physics-12%28English%29Part-1.pdf
 Math-12(Punjabi)Part-2,www.pseb.ac.in/sites/default/files/2021-07/Math-12%28English%29Part-2.pdf
 chemistry-12(English) Part-1,www.pseb.ac.in/sites/default/files/2021-07/chemistry-12%28English%29Part-1.pdf
 Math-12(English)Part-1,www.pseb.ac.in/sites/default/files/2021-07/Math-12%28English%29Part-1.pdf
 Math-12(English)Part-2,www.pseb.ac.in/sites/default/files/2021-07/Math-12%28English%29Part-2_0.pdf
 Math-12(Punjabi) Part-1,www.pseb.ac.in/sites/default/files/2021-07/Math-12%28Punjabi%29%20Part-1.pdf
 Chemistry-12 (Punjabi) Part-2,www.pseb.ac.in/sites/default/files/2021-07/chemistry-12-Punjabi-part-2.pdf
 Chemistry-12 (Punjabi) Part-1,www.pseb.ac.in/sites/default/files/2021-07/chemistry-12-Punjabi-part-1.pdf
 Biology-12 (punjabi),www.pseb.ac.in/sites/default/files/2021-07/Biology-12punajbi-2017-15-09-787.pdf
 Religion 12(P),www.pseb.ac.in/sites/default/files/2021-07/Religion-12P-2017-07-09-819.pdf
 Pride and Prejudice 12 Elective English,www.pseb.ac.in/sites/default/files/2021-07/Pride-and-Prejudice-12-elective-english-2017-13-07-29.pdf
 A New Chapter -Stubble: Problems and Management is Added in Environment Studies (Unit IV),www.pseb.ac.in/sites/default/files/2021-07/final-2017-01-09-691.pdf
 Music Vadan -12 Punjabi,www.pseb.ac.in/sites/default/files/2021-07/Music-Vadan-12-Punjabi-for-upload.pdf
 Samaaj Shasrta-12 (H),www.pseb.ac.in/sites/default/files/2021-07/Samaaj-Shasrta-12%28H%29.pdf
 Sangeet Vadan for Class 12th ,www.pseb.ac.in/sites/default/files/2021-07/Sangeet-Vadan-for-Class-12th%28PSEB%29_0.pdf
 Sangeet Gayan for class 12th (PSEB),www.pseb.ac.in/sites/default/files/2021-07/SangeetGyan-12Punjabi1-2018-31-10-102_0.pdf
 Sahit Budh-12,www.pseb.ac.in/sites/default/files/2021-07/Sahit-Budh-12.pdf
 Lazmi Punjabi-12,www.pseb.ac.in/sites/default/files/2021-07/Lazmi-Punjabi-12-%28XV%29.pdf
 New Text Book of Home Science(P) (First 4 Chapters),www.pseb.ac.in/sites/default/files/2021-07/Greh-Vigyan-12-Pbi-2016-20-05-585.pdf
 Desktop Publishing-12 (Eng),www.pseb.ac.in/sites/default/files/2021-07/Desktop-Publishing%28E%29.pdf
 Desktop Publishing-12 (Pun),www.pseb.ac.in/sites/default/files/2021-07/Desktop-Publishing%28P%29.pdf
 OOPS-12 (Eng),www.pseb.ac.in/sites/default/files/2021-07/OOPS-%28E%29.pdf
 OOPS-12 (Pun),www.pseb.ac.in/sites/default/files/2021-07/OOPS-%28P%29.pdf
 39 number correct page of Physical Education and Sports  for 12th Class(Punjabi/Hindi/English),www.pseb.ac.in/sites/default/files/2021-10/page%20no39.pdf
